Bitcoin,Blockchain,Cryptocurrency,isPartial
45,3,2,False
37,3,2,False
67,3,2,False
81,3,3,False
72,3,2,False
60,3,2,False
54,3,2,False
47,3,2,False
51,3,2,False
66,3,2,False
41,3,1,False
42,3,1,False
33,3,1,False
32,3,1,False
37,3,1,False
31,3,1,False
32,3,1,False
31,3,1,False
30,3,1,False
30,2,1,False
34,2,1,False
34,3,1,False
36,3,2,False
37,3,1,False
35,3,1,False
52,3,1,False
35,3,1,False
31,3,1,False
29,3,1,False
31,3,1,False
29,3,1,False
30,3,1,False
29,3,1,False
27,3,1,False
27,3,1,False
28,3,1,False
27,3,1,False
34,2,1,False
54,2,2,False
100,3,3,False
82,3,3,False
67,3,2,False
78,4,3,False
62,3,3,False
76,3,2,False
56,3,2,False
49,3,2,False
49,3,2,False
51,3,2,False
63,3,3,False
48,3,2,False
51,3,2,False
37,3,2,False
32,3,3,True
